partido_id,equipo_local_id,equipo_visitante_id,goles_local,goles_visitante,estadio_id,torneo_id,fase
1,9,5,2,3,3,3,Semifinal
2,11,9,2,1,7,2,Octavos de Final
3,11,5,5,3,2,2,Semifinal
4,1,9,3,3,8,1,Semifinal
5,5,3,3,4,1,1,Octavos de Final
6,6,14,0,1,9,3,Semifinal
7,3,4,4,1,7,3,Fase de Grupos
8,14,13,2,4,7,2,Final
9,2,11,3,3,1,1,Semifinal
10,4,7,5,5,5,2,Fase de Grupos
11,14,13,2,0,4,3,Octavos de Final
12,4,15,2,5,4,2,Final
13,15,9,3,4,7,3,Cuartos de Final
14,10,15,2,2,4,3,Cuartos de Final
15,7,13,5,1,7,3,Octavos de Final
16,9,10,0,0,1,1,Semifinal
17,6,13,5,0,2,1,Octavos de Final
18,3,7,3,4,9,3,Semifinal
19,11,12,3,3,1,2,Final
20,5,9,3,4,1,1,Cuartos de Final
21,2,3,4,1,10,1,Cuartos de Final
22,15,2,0,2,9,3,Octavos de Final
23,6,10,0,2,5,1,Octavos de Final
24,2,10,0,0,10,2,Final
25,11,15,1,2,7,2,Fase de Grupos
26,3,9,3,4,4,1,Final
27,2,15,0,2,9,3,Semifinal
28,6,12,5,4,4,3,Cuartos de Final
29,10,4,3,5,1,3,Octavos de Final
30,1,11,5,5,3,3,Semifinal
31,2,3,1,3,2,1,Fase de Grupos
32,4,5,2,0,9,2,Final
33,13,1,2,0,8,3,Final
34,7,3,2,5,6,2,Fase de Grupos
35,11,10,3,0,2,1,Fase de Grupos
36,15,7,3,2,3,2,Cuartos de Final
37,3,7,5,2,9,2,Final
38,15,7,1,5,8,2,Final
39,6,9,2,2,4,1,Cuartos de Final
40,4,7,0,2,2,3,Semifinal
41,12,10,0,1,10,1,Semifinal
42,14,3,1,1,1,1,Fase de Grupos
43,3,2,3,1,1,3,Semifinal
44,3,15,2,1,6,3,Cuartos de Final
45,15,3,5,4,8,3,Octavos de Final
46,7,11,2,3,3,2,Cuartos de Final
47,9,1,3,2,9,3,Final
48,14,2,0,2,8,2,Final
49,8,15,5,2,9,2,Fase de Grupos
50,9,10,1,4,10,1,Fase de Grupos
51,14,7,4,3,3,1,Fase de Grupos
52,15,5,4,3,10,1,Final
53,4,10,2,2,4,1,Octavos de Final
54,4,15,0,4,4,2,Fase de Grupos
55,5,9,3,0,7,1,Semifinal
56,12,2,4,1,9,2,Final
57,7,11,1,0,7,1,Final
58,11,7,0,1,2,2,Semifinal
59,10,3,0,0,7,2,Octavos de Final
60,5,11,3,1,2,3,Cuartos de Final
61,6,7,1,2,10,1,Final
62,11,6,0,0,6,2,Semifinal
63,5,13,4,3,9,3,Final
64,11,6,3,5,2,1,Fase de Grupos
65,1,13,0,0,6,1,Final
66,8,12,3,1,9,1,Octavos de Final
67,5,8,3,2,10,2,Fase de Grupos
68,15,11,3,0,1,1,Final
69,1,12,5,4,3,1,Fase de Grupos
70,13,14,0,5,3,3,Final
71,9,13,5,4,2,3,Semifinal
72,15,6,1,3,9,3,Final
73,1,4,5,4,3,3,Semifinal
74,8,10,5,4,2,2,Semifinal
75,7,13,5,5,7,1,Semifinal
76,11,2,1,4,10,2,Final
77,2,10,1,4,5,1,Fase de Grupos
78,13,11,0,0,7,1,Fase de Grupos
79,2,12,2,2,9,3,Octavos de Final
80,3,12,3,0,9,3,Semifinal
81,1,7,1,3,8,2,Cuartos de Final
82,13,12,3,5,2,3,Fase de Grupos
83,10,11,3,3,4,1,Final
84,6,7,0,3,3,2,Cuartos de Final
85,8,13,5,2,9,3,Cuartos de Final
86,2,15,1,2,1,2,Semifinal
87,13,1,4,2,2,3,Semifinal
88,12,8,2,5,4,3,Fase de Grupos
89,5,1,0,5,8,2,Cuartos de Final
90,7,14,5,1,1,1,Fase de Grupos
91,6,4,4,5,2,2,Final
92,9,7,1,3,9,2,Cuartos de Final
93,5,2,4,1,6,2,Final
94,11,6,5,3,3,2,Final
95,3,13,1,2,6,3,Octavos de Final
96,15,8,0,5,6,2,Fase de Grupos
97,5,4,3,0,10,2,Fase de Grupos
98,8,9,3,1,3,2,Octavos de Final
99,5,11,0,5,8,1,Fase de Grupos
100,14,13,2,2,7,1,Semifinal
